,country,sex,Average_suicides_per_capita
187,Turkey,male,3.588809523809524
188,Turkmenistan,female,4.684080459770115
189,Turkmenistan,male,12.527011494252875
190,Ukraine,female,8.911249999999999
191,Ukraine,male,44.253392857142856
192,United Arab Emirates,female,0.9669444444444445
193,United Arab Emirates,male,1.6688888888888889
194,United Kingdom,female,3.4021505376344083
195,United Kingdom,male,11.602795698924735
196,United States,female,4.676397849462365
197,United States,male,22.963225806451614
198,Uruguay,female,6.513333333333333
199,Uruguay,male,32.40904761904762
200,Uzbekistan,female,4.336212121212122
201,Uzbekistan,male,11.862045454545456
